nome,telefone,email,website,fonte,url_origem
Alex Osterno Prado - Advocacia Imobiliária e Sucessória,08836132602,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu"
Alex Osterno Prado - Advocacia Imobiliária e Sucessória,088981951949,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu"
R Feitosa Group,08836955628,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu"
Oséas Rodrigues & Nogueira ADVOGADO CRIMINALISTA - ADVOGADO EM SOBRAL,088999395481,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu"
Escritório Marcelo Arruda | Corretor de Imóveis,088996071775,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu"
JK Advocacia,088992346262,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu"
Caio Medeiros Advocacia e Assessoria Jurídica,08821444643,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu"
Escritório de advocacia Parente e Parente Sociedade de Advogados,088981852021,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu"
Vasconcelos Advogados Associados,088994644528,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu"
Paiva & Osterno - Advocacia,088992260949,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu"
Thiago Vasconcelos | Advogado em Sobral,088997818282,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu"
Neto Linhares Advocacia,088996229265,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu"
Samarony Sousa,088996699126,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu"
Adilia Rodrigues Advocacia e Assessoria Jurídica,085999008712,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu"
